igdb_id,name,summary,description,url,artwork_hash,screenshot_hash
174898,Clash of Chess,"Our app is ideal for everyone. It contains 10 different levels of difficulty, over 400 challenges and a diverse set of boards and pawns to make the game even more enjoyable.","Title: ""Clash of Chess"" Summary: Our app is ideal for everyone. It contains 10 different levels of difficulty, over 400 challenges and a diverse set of boards and pawns to make the game even more enjoyable. Released on Jan 03, 2022. Publishers: unknown. Platforms: Nintendo Switch. Game Modes: unknown. Genres: Puzzle, Strategy, Arcade, Card & Board Game. Themes: unknown. Player Perspectives: unknown.",https://www.igdb.com/games/clash-of-chess,ar15x4,sce3dq
186554,Minepull,More than just a puzzle game. Minepull highlights the fun part of puzzle-solving and brain teasers. Single Player Mode: Do you like solving puzzles while calculating your next move? Minepull gives you the perfect opportunity to taste that experience. Local Multiplayer Mode: Who does not like to challenge their friends and family on puzzle solving skills? With Local Multiplayer Mode you can challenge your friends and family with 2 different difficulty settings.,"Title: ""Minepull"" Summary: More than just a puzzle game. Minepull highlights the fun part of puzzle-solving and brain teasers. Single Player Mode: Do you like solving puzzles while calculating your next move? Minepull gives you the perfect opportunity to taste that experience. Local Multiplayer Mode: Who does not like to challenge their friends and family on puzzle solving skills? With Local Multiplayer Mode you can challenge your friends and family with 2 different difficulty settings. Released on Jan 03, 2022. Publishers: unknown. Platforms: Nintendo Switch. Game Modes: unknown. Genres: Puzzle, Strategy, Arcade, Card & Board Game. Themes: Educational. Player Perspectives: unknown.",https://www.igdb.com/games/minepull,ar1c3t,scf5ib
186935,Biker Garage: Mechanic Simulator,"Biker Garage: Mechanic Simulator allows you to be a top motorcycle mechanic. Your main aim is to be the best mechanic you can, with loads of really happy clients. You start your adventure in a small home workshop which you will need to grow to become the best motorcycle mechanic in the world. Test your bikes on a track, check the quality of your repairs and improve bike performance with fine-tuning. Not only do you customize motorcycles at the request of customers, but you can also create your own dream machine. Find a bike at the junkyard or buy it from a shop and change it beyond recognition while choosing from hundreds of different parts. When you expand your business (and your garage), you will unlock new features like the auction system, racing, and further skills for more difficult tasks.","Title: ""Biker Garage: Mechanic Simulator"" Summary: Biker Garage: Mechanic Simulator allows you to be a top motorcycle mechanic. Your main aim is to be the best mechanic you can, with loads of really happy clients. You start your adventure in a small home workshop which you will need to grow to become the best motorcycle mechanic in the world. Test your bikes on a track, check the quality of your repairs and improve bike performance with fine-tuning. Not only do you customize motorcycles at the request of customers, but you can also create your own dream machine. Find a bike at the junkyard or buy it from a shop and change it beyond recognition while choosing from hundreds of different parts. When you expand your business (and your garage), you will unlock new features like the auction system, racing, and further skills for more difficult tasks. Released on Jan 03, 2022. Publishers: unknown. Platforms: Nintendo Switch. Game Modes: unknown. Genres: Puzzle, Racing, Simulator. Themes: unknown. Player Perspectives: unknown.",https://www.igdb.com/games/biker-garage-mechanic-simulator,ar1ca7,scf75j
187097,Geography Quiz Festival: Guess the Countries,Advance through our beloved game by completing the different missions you find on your way. Prove that you know the most about Geography!,"Title: ""Geography Quiz Festival: Guess the Countries"" Summary: Advance through our beloved game by completing the different missions you find on your way. Prove that you know the most about Geography! Released on Jan 03, 2022. Publishers: unknown. Platforms: Nintendo Switch. Game Modes: unknown. Genres: Puzzle. Themes: Educational. Player Perspectives: unknown.",https://www.igdb.com/games/geography-quiz-festival-guess-the-countries,ar1ci3,scf812
187475,Chess: Clash of Kings,"Our app is ideal for everyone. It contains 10 different levels of difficulty, over 400 challenges and a diverse set of boards and pawns to make the game even more enjoyable.","Title: ""Chess: Clash of Kings"" Summary: Our app is ideal for everyone. It contains 10 different levels of difficulty, over 400 challenges and a diverse set of boards and pawns to make the game even more enjoyable. Released on Jan 03, 2022. Publishers: unknown. Platforms: Nintendo Switch. Game Modes: unknown. Genres: Puzzle, Strategy, Arcade, Card & Board Game. Themes: unknown. Player Perspectives: unknown.",https://www.igdb.com/games/chess-clash-of-kings,ar1d21,scf9ms
199815,My Magic Florist: Deluxe Edition,"My Magic Florist will take you to a world of magic, colors, and harmony. You'll be tasked to take care of your own enchanted flower shop. Earn money and make upgrades through wise investments!

Your magical fairy powers are a good start, but you'll need to get experience and hone your skills to truly succeed. You're the only boss, and in the end, it'll be up to you and your hard work. Can you make it?","Title: ""My Magic Florist: Deluxe Edition"" Summary: My Magic Florist will take you to a world of magic, colors, and harmony. You'll be tasked to take care of your own enchanted flower shop. Earn money and make upgrades through wise investments!

Your magical fairy powers are a good start, but you'll need to get experience and hone your skills to truly succeed. You're the only boss, and in the end, it'll be up to you and your hard work. Can you make it? Released on Jan 03, 2022. Publishers: unknown. Platforms: Nintendo Switch. Game Modes: unknown. Genres: unknown. Themes: unknown. Player Perspectives: unknown.",https://www.igdb.com/games/my-magic-florist-deluxe-edition,ar1md9,
148953,Watermelon Blocks,"Live this adventure with the cute watermelon block. Solve puzzles, overcome obstacles, challenges and live adventures in this beautiful watermelon world","Title: ""Watermelon Blocks"" Summary: Live this adventure with the cute watermelon block. Solve puzzles, overcome obstacles, challenges and live adventures in this beautiful watermelon world Released on Jan 06, 2022. Publishers: unknown. Platforms: Nintendo Switch. Game Modes: Single player. Genres: Platform, Puzzle, Strategy, Adventure, Indie. Themes: Action. Player Perspectives: unknown.",https://www.igdb.com/games/watermelon-blocks,arrub,sc9xkt
186697,I Love Finding Cats!: Collector's Edition,I Love Finding Cats is a classic Hidden Object game with a great selection of mini-games. Visit beautiful locations from across the globe while you find and collect adorable feline friends! This Collector's Edition also includes Christmas Bonus levels.,"Title: ""I Love Finding Cats!: Collector's Edition"" Summary: I Love Finding Cats is a classic Hidden Object game with a great selection of mini-games. Visit beautiful locations from across the globe while you find and collect adorable feline friends! This Collector's Edition also includes Christmas Bonus levels. Released on Jan 06, 2022. Publishers: unknown. Platforms: Nintendo Switch. Game Modes: unknown. Genres: Puzzle, Adventure. Themes: unknown. Player Perspectives: unknown.",https://www.igdb.com/games/i-love-finding-cats-collectors-edition,ar1c5x,scf60s
186700,Alone Musc,Join the world of classical and modern music and discover your talents. Don't miss the tiles and start playing music. The game has 4 different difficulty modes and each difficulty mode has different music. You need to challenge yourself to unlock the difficulty modes. Don't forget that you can earn more points by making combos! Come on! Start the challenge and play music right now!,"Title: ""Alone Musc"" Summary: Join the world of classical and modern music and discover your talents. Don't miss the tiles and start playing music. The game has 4 different difficulty modes and each difficulty mode has different music. You need to challenge yourself to unlock the difficulty modes. Don't forget that you can earn more points by making combos! Come on! Start the challenge and play music right now! Released on Jan 06, 2022. Publishers: unknown. Platforms: Nintendo Switch. Game Modes: unknown. Genres: Music, Arcade, Card & Board Game. Themes: unknown. Player Perspectives: unknown.",https://www.igdb.com/games/alone-musc,ar1c60,scf617
186706,Theatre of Sorrows,In Theatre of Sorrows you will join Killian and Eileen in a deadly journey through Esha and dive into dark secrets of its inhabitants; try to navigate your way through the unknown territory with only a handful of hints that might lead you to a dangerous discovery about things that should have probably been consigned to oblivion...,"Title: ""Theatre of Sorrows"" Summary: In Theatre of Sorrows you will join Killian and Eileen in a deadly journey through Esha and dive into dark secrets of its inhabitants; try to navigate your way through the unknown territory with only a handful of hints that might lead you to a dangerous discovery about things that should have probably been consigned to oblivion... Released on Jan 06, 2022. Publishers: unknown. Platforms: Nintendo Switch. Game Modes: unknown. Genres: Role-playing (RPG), Adventure, Indie. Themes: unknown. Player Perspectives: unknown.",https://www.igdb.com/games/theatre-of-sorrows,ar1c65,scf61w
